CC.Line,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59
CC011cs,0.189855511,0.091547754,0.070787603,-0.144507607,-0.007571847,0.027826124,0.007786814,-0.209075799,0.122982459,-0.109216882,0.035561152,-0.147073708,0.042773627,-0.145529609,-0.05138161,0.181591495,-0.182335173,0.138313108,-0.082206614,-0.142104693,-0.181184544,-0.196682505,0.109519772,-0.089424907,0.169763224,0.10786809,-0.091229866,0.134765744,-0.036980844,0.125859268,0.044570432,0.175268378,-0.085977117,-0.031059944,0.274087181,0.197430741,-0.242110022,-0.076946239,0.021388633,-0.215103055,-0.146533252,0.068877826,0.099524919,-0.021586833,-0.239283783,-0.085723323,0.185445893,0.039597233,-7.95E-05,0.121003826,-0.10457689,-0.163616536,0.080011825,0.152362924,0.082287921,-0.114784742,0.005859127,0.110303314,0.061890612
CC012cs,-0.02261574,-0.178077162,0.114734579,0.174084933,0.320686358,0.109885503,-0.14983999,-0.013176264,-0.129399295,-0.104856417,0.087957274,0.023311377,-0.025484161,-0.063240384,0.008700323,0.053825211,-0.098630134,-0.077501989,-0.031322443,0.066217005,0.134324073,0.075138792,0.105934441,0.029787815,-0.03399347,0.027944215,-0.24877195,-0.042914905,-0.323816308,0.238130218,-0.02345429,0.105354356,-0.14990505,0.091042153,0.00014599,0.105955851,-0.124328257,-0.26787791,-0.048928066,-0.081060836,-0.020694711,0.119123838,-0.275148212,0.080899592,0.149898295,0.309163066,-0.158495273,0.070820089,-0.042396604,0.01955721,0.147342836,-0.079633766,-0.018768805,0.054043685,-0.059825467,0.031746409,-0.131822029,-0.041011152,-0.083512529
CC013cs,0.058538937,-0.099591933,0.108983662,0.135785073,-0.023371721,-0.229062039,0.175198481,-0.124250969,0.106212348,-0.021921473,0.097218353,0.105292561,-0.200404456,0.354604658,-0.048003122,-0.09679538,-0.09103894,-0.065501304,0.030923906,-0.058559279,-0.086598064,-0.068513859,0.061080286,0.277068421,-0.103719065,0.055373965,0.018060562,-0.307448547,0.111227928,0.29750654,0.003436188,-0.235017025,-0.128893893,-0.125480625,0.058901659,0.069087649,-0.107180219,0.122365512,-0.0093488,0.095188922,-0.006508782,-0.058567601,-0.047321853,0.030424051,-0.185475548,0.128137424,0.01237675,0.004082194,0.276291951,0.048772557,-0.18553417,-0.104477967,0.00647725,0.017163395,-0.069163192,0.053885434,-0.074264058,-0.00222394,-0.037659615
CC015cs,0.082518314,0.260342142,-0.006787457,-0.176863758,0.071364072,0.113657408,0.039314387,-0.011522848,0.263615712,-0.145908898,0.128038653,0.013733177,-0.148396311,0.132786833,-0.025777589,0.047659548,-0.167847569,0.038141751,-0.046783709,0.11123314,-0.068645348,0.04054476,-0.052958936,0.003794496,-0.157847225,-0.024299297,0.091004183,-0.076142204,-0.038932598,0.020604608,-0.229505447,-0.038199304,-0.068873651,-0.038405266,-0.008579927,-0.039227795,0.085686386,-0.038794453,0.063460734,-0.016370809,-0.129159195,-0.00799703,0.095476273,-0.240034737,0.162291193,0.30753353,-0.005412757,-0.120739429,-0.214273597,-0.445200557,0.04663042,-0.112779587,0.003193759,0.064891753,0.124665281,0.048699273,0.19521273,0.037107799,0.121719615
CC016cs,0.147860536,-0.058483737,0.022335542,-0.080617039,0.155308875,-0.226657979,-0.074417882,0.097293565,0.048019697,0.116861727,0.018643912,-0.131882285,0.272074274,0.061725374,-0.180211797,-0.005800566,0.040940747,0.25488289,0.091862989,-0.031853283,-0.029525138,0.072258557,-0.137181818,-0.082431662,-0.337669443,0.15173578,-0.311629633,-0.159226907,-1.83E-05,-0.09986759,0.022868405,0.035321312,-0.070398771,0.084407034,0.036380935,0.033692926,-0.057758457,-0.241872616,0.095605876,0.22820329,0.260646602,0.084873524,0.197769588,0.07787766,0.019759157,-0.071144145,0.1245738,-0.096657092,0.04176661,-0.153523905,-0.115253799,0.04209788,0.032733416,-0.000829646,0.065617659,0.089945503,-0.102200717,0.039691474,-0.005668066
CC017cs,-0.162722325,0.10943128,-0.014031612,0.203274387,-0.099851994,-0.136890547,0.148920075,-0.148088095,-0.089170459,-0.04945432,0.012492415,0.033796782,0.126875572,0.031945098,-0.029042246,0.239412888,0.105419408,0.008923668,0.235310877,-0.048097332,-0.065872243,0.142581653,0.263887122,0.098682282,-0.152697207,-0.208828797,0.014079233,0.197420719,0.141979147,-0.175159044,-0.017508082,0.294621561,0.127517597,0.012446382,-0.022060894,0.053032181,-0.085318068,-0.167721788,-0.035461264,-0.013195835,0.103130504,-0.066160902,-0.000573594,-0.180205779,-0.19258328,0.142002851,-0.116870028,0.033947239,0.009726431,-0.118444277,-0.066280995,-0.282025822,-0.019104406,-0.055052075,-0.145005221,0.167378921,-0.001684595,-0.124185477,0.03526802
CC018cs,-0.083482072,0.322273044,0.031595887,0.10559202,-0.078610256,-0.070091731,0.01264966,0.154940881,0.076893699,-0.033834544,0.099381244,0.051075618,0.065487934,0.007496977,0.110341829,0.22568314,0.048644589,-0.059916464,-0.099933849,-0.101119624,-0.040773569,0.113427769,0.010643854,-0.008671762,0.041814535,-0.131891569,-0.085948032,-0.059092994,-0.0936683,0.038113692,0.225637564,0.014431746,0.048282358,-0.139774971,0.172678605,0.022040832,-0.172130425,0.046570656,-0.075250992,-0.189536812,0.040168206,0.043608242,0.034012136,0.114488296,0.145115632,0.129452507,-0.03792888,-0.125696617,0.132397952,-0.220769322,-0.210621005,0.434604815,-0.055924806,-0.194645165,-0.050312164,-0.258649102,-0.115156501,-0.018013243,-0.024098802
CC019cs,-0.162229774,0.137615207,-0.151142406,-0.019467293,0.137232752,0.132562234,-0.148768548,0.290510698,0.15403892,-0.116033414,-0.011772991,0.117608168,-0.069138072,0.101297457,-0.066487334,0.027743458,-0.03208676,0.206722854,-0.056774094,0.074771415,-0.025459114,-0.038992146,0.12643673,0.100357479,-0.098720863,0.07203214,0.079502938,0.070734127,-0.044288299,0.126324009,-0.157273518,0.093904587,0.025276016,0.134033411,-0.026365495,-0.057475741,0.103572242,0.045350939,0.158969655,-0.03135652,0.051649735,-0.110299818,-0.30614848,0.044836331,-0.185498311,-0.315697126,-0.002476334,0.098368163,-0.033076998,-0.086196332,-0.212625228,-0.071291296,0.101631971,-0.102569637,-0.012440202,-0.112772789,-0.362843578,-0.03682958,0.130917699
CC021cs,0.137093943,-0.053749138,0.109491482,0.072529733,-0.022681612,0.013462489,0.162855212,0.039993178,0.057577526,-0.109356933,-0.039505474,0.177079385,-0.01214746,-0.12464468,0.02638079,-0.061000378,0.191908866,-0.056818586,-0.127283342,0.123908999,-0.084684864,-0.108370949,0.040339877,0.373364181,-0.056746625,0.154536154,-0.070747112,0.192910816,-0.053529172,-0.175505685,-0.033930529,0.056782549,-0.21950518,0.231547709,0.116686041,0.17002515,-0.029504506,0.193165165,-0.100632494,-0.175256925,0.186745778,-0.181726857,0.1186276,0.079348547,0.323124322,-0.085866118,0.145706375,0.127015299,0.083907723,-0.131815759,0.066216165,-0.027657347,0.027290366,-0.037194437,-0.054444408,0.140514254,0.026531102,0.053641249,0.079340446
CC022cs,-0.005644996,-0.036274018,0.027109514,-0.096938641,-0.205241695,-0.199037436,-0.078784537,-0.147506062,0.271398736,0.18383909,0.034544737,0.297078044,-0.291873176,0.085065926,0.148938756,0.102153072,-0.080905469,0.106115014,0.077283781,-0.198361829,0.170863626,-0.177433257,-0.098550465,-0.028075009,-0.05366589,-0.0552697,0.053822727,-0.056760288,-0.137886374,0.044227681,0.042705231,0.292462824,0.065119107,-0.010876896,-0.134742829,0.07396977,-0.081440097,-0.185860211,0.036333243,-0.007625449,0.132218223,-0.254366681,0.056575975,0.04093656,0.136073615,-0.084451229,-0.063648858,0.101852113,-0.176891813,0.090738946,0.148667282,0.141949384,0.026851291,0.068753731,0.061350349,0.050432827,-0.085112397,-0.011454728,-0.060026413
